Název části obce;Název ulice;Číslo domovní;PSČ
Zboží;;1;54401
Zboží;;2;54401
Zboží;;3;54401
Zboží;;4;54401
Zboží;;5;54401
Zboží;;6;54401
Zboží;;8;54401
Zboží;;9;54401
Zboží;;10;54401
Zboží;;11;54401
Zboží;;12;54401
Zboží;;13;54401
Zboží;;14;54401
Zboží;;15;54401
Zboží;;16;54401
Zboží;;17;54401
Zboží;;19;54401
Zboží;;20;54401
Zboží;;23;54401
Zboží;;25;54401
Zboží;;26;54401
Zboží;;28;54401
Zboží;;29;54401
Zboží;;30;54401
Zboží;;32;54401
Zboží;;33;54401
Zboží;;34;54401
Zboží;;35;54401
Zboží;;36;54401
Zboží;;37;54401
Zboží;;38;54401
Zboží;;39;54401
Zboží;;40;54401
Zboží;;42;54401
Zboží;;43;54401
Zboží;;44;54401
Zboží;;45;54401
Zboží;;46;54401
Zboží;;47;54401
Zboží;;48;54401
Zboží;;49;54401
Zboží;;50;54401
Zboží;;51;54401
Zboží;;52;54401
Zboží;;53;54401
Zboží;;54;54401
Zboží;;56;54401
Zboží;;57;54401
Zboží;;58;54401
Žireč;;1;54404
Žireč;;2;54404
Žireč;;3;54404
Žireč;;4;54404
Žireč;;5;54404
Žireč;;6;54404
Žireč;;9;54404
Žireč;;10;54404
Žireč;;13;54404
Žireč;;14;54404
Žireč;;17;54404
Žireč;;18;54404
Žireč;;20;54404
Žireč;;219;54404
Žireč;;22;54404
Žireč;;24;54404
Žireč;;25;54404
Žireč;;27;54404
Žireč;;28;54404
Žireč;;29;54404
Žireč;;30;54404
Žireč;;31;54404
Žireč;;32;54404
Žireč;;33;54404
Žireč;;34;54404
Žireč;;35;54404
Žireč;;36;54404
Žireč;;37;54404
Žireč;;38;54404
Žireč;;39;54404
Žireč;;40;54404
Žireč;;41;54404
Žireč;;42;54404
Žireč;;43;54404
Žireč;;44;54404
Žireč;;45;54404
Žireč;;46;54404
Žireč;;47;54404
Žireč;;48;54404
Žireč;;49;54404
Žireč;;50;54404
Žireč;;52;54404
Žireč;;53;54404
Žireč;;54;54404
Žireč;;55;54404
Žireč;;57;54404
Žireč;;58;54404
Žireč;;59;54404
Žireč;;60;54404
Žireč;;61;54404
Žireč;;62;54404
Žireč;;63;54404
Žireč;;64;54404
Žireč;;65;54404
Žireč;;66;54404
Žireč;;69;54404
Žireč;;71;54404
Žireč;;73;54404
Žireč;;75;54404
Žireč;;77;54404
Žireč;;78;54404
Žireč;;80;54404
Žireč;;81;54404
Žireč;;82;54404
Žireč;;84;54404
Žireč;;86;54404
Žireč;;87;54404
Žireč;;88;54404
Žireč;;94;54404
Žireč;;95;54404
Žireč;;96;54404
Žireč;;97;54404
Žireč;;98;54404
Žireč;;100;54404
Žireč;;101;54404
Žireč;;102;54404
Žireč;;104;54404
Žireč;;105;54404
Žireč;;106;54404
Žireč;;107;54404
Žireč;;108;54404
Žireč;;110;54404
Žireč;;111;54404
Žireč;;112;54404
Žireč;;113;54404
Žireč;;114;54404
Žireč;;115;54404
Žireč;;116;54404
Žireč;;118;54404
Žireč;;119;54404
Žireč;;120;54404
Žireč;;121;54404
Žireč;;123;54404
Žireč;;124;54404
Žireč;;126;54404
Žireč;;127;54404
Žireč;;128;54404
Žireč;;129;54404
Žireč;;130;54404
Žireč;;131;54404
Žireč;;132;54404
Žireč;;133;54404
Žireč;;134;54404
Žireč;;135;54404
Žireč;;136;54404
Žireč;;137;54404
Žireč;;138;54404
Žirecká Podstráň;;2;54401
Žirecká Podstráň;;3;54401
Žirecká Podstráň;;4;54401
Žirecká Podstráň;;5;54401
Žirecká Podstráň;;6;54401
Žirecká Podstráň;;10;54401
Žirecká Podstráň;;11;54401
Dvůr Králové nad Labem;V Zahrádkách;3041;54401
Žirecká Podstráň;;14;54401
Žirecká Podstráň;Na Borkách;15;54401
Žirecká Podstráň;Na Borkách;16;54401
Žirecká Podstráň;Na Borkách;17;54401
Žirecká Podstráň;;21;54401
Žirecká Podstráň;;22;54401
Žirecká Podstráň;;23;54401
Žirecká Podstráň;;25;54401
Žirecká Podstráň;Na Borkách;28;54401
Žirecká Podstráň;Na Borkách;29;54401
Žirecká Podstráň;;30;54401
Žirecká Podstráň;;31;54401
Žirecká Podstráň;;34;54401
Žirecká Podstráň;;40;54401
Žirecká Podstráň;;90;54401
Žirecká Podstráň;;43;54401
