Název části obce,Název ulice,Číslo domovní,PSČ
Kašov,,2,54401
Kašov,,3,54401
Kašov,,4,54401
Kašov,,5,54401
Kašov,,6,54401
Kašov,,10,54401
Kašov,,12,54401
Kašov,,14,54401
Kašov,,15,54401
Kašov,,17,54401
Kašov,,19,54401
Kašov,,21,54401
Kašov,,23,54401
Kašov,,24,54401
Kašov,,25,54401
Kašov,,26,54401
Kašov,,28,54401
Kašov,,29,54401
Kašov,,31,54401
Kašov,,34,54401
Kašov,,37,54401
Kašov,,38,54401
Kašov,,40,54401
Kašov,,42,54401
Kašov,,43,54401
Kašov,,44,54401
Kašov,,45,54401
Kašov,,46,54401
Kašov,,47,54401
Kašov,,49,54401
Kašov,,50,54401
Kuks,,1,54443
Kuks,,2,54443
Kuks,,3,54443
Kuks,,4,54443
Kuks,,5,54443
Kuks,,6,54443
Kuks,,7,54443
Kuks,,8,54443
Kuks,,9,54443
Kuks,,10,54443
Kuks,,11,54443
Kuks,,12,54443
Kuks,,13,54443
Kuks,,14,54443
Kuks,,15,54443
Kuks,,16,54443
Kuks,,17,54443
Kuks,,18,54443
Kuks,,19,54443
Kuks,,20,54443
Kuks,,21,54443
Kuks,,22,54443
Kuks,,23,54443
Kuks,,24,54443
Kuks,,25,54443
Kuks,,26,54443
Kuks,,27,54443
Kuks,,28,54443
Kuks,,29,54443
Kuks,,30,54443
Kuks,,31,54443
Kuks,,32,54443
Kuks,,33,54443
Kuks,,35,54443
Kuks,,37,54443
Kuks,,38,54443
Kuks,,39,54443
Kuks,,40,54443
Kuks,,41,54443
Kuks,,42,54443
Kuks,,43,54443
Kuks,,44,54443
Kuks,,45,54443
Kuks,,46,54443
Kuks,,47,54443
Kuks,,48,54443
Kuks,,49,54443
Kuks,,50,54443
Kuks,,52,54443
Kuks,,53,54443
Kuks,,54,54443
Kuks,,56,54443
Kuks,,57,54443
Kuks,,58,54443
Kuks,,59,54443
Kuks,,60,54443
Kuks,,61,54443
Kuks,,62,54443
Kuks,,63,54443
Kuks,,64,54443
Kuks,,65,54443
Kuks,,66,54443
Kuks,,67,54443
Kuks,,68,54443
Kuks,,69,54443
Kuks,,70,54443
Kuks,,71,54443
Kuks,,72,54443
Kuks,,73,54443
Kuks,,74,54443
Kuks,,75,54443
Kuks,,76,54443
Kuks,,77,54443
Kuks,,78,54443
Kuks,,80,54443
Kuks,,81,54443
Kuks,,82,54443
Kuks,,83,54443
Kuks,,84,54443
Kuks,,85,54443
Kuks,,51,54443
Kuks,,86,54443
Kašov,,1,54401
Kuks,,87,54443
Kuks,,88,54443
Kašov,,51,54401
Kašov,,1,54401
Kašov,,35,54401
Kuks,,89,54443
Kuks,,90,54443
Kašov,,30,54401
Kuks,,91,54443
Kuks,,92,54443
Kašov,,32,54401
Kuks,,93,54443
Kašov,,33,54401
Kašov,,39,54401
